1,Ethical responsibility,1.1,Global citizenship
,,1.2,Community engagement
,,1.3,Social and environmental awareness
,,1.4,Professionalism
2,Scholarship,2.1,Knowledge breadth and depth
,,2.2,Interdisciplinarity
,,2.3,Life-long learning
,,2.4,Investigation
3,Critical thinking,3.1,Analytic and synthetic reasoning
,,3.2,Interpretive proficiency
,,3.3,Intellectual curiosity
,,3.4,Information literacy
4,Communication,4.1,Writing skills
,,4.2,Oral Skills
,,4.3,Visual communication
,,4.4,Multilingualism 
5,Collaboration,5.1,Openness to diversity
,,5.2,Interpersonal skills
,,5.3,Adaptability and compromise
,,5.4,Individual contribution
6,Creativity,6.1,Imagination
,,6.2,Innovation
,,6.3,Divergent thinking
,,6.4,Artistic sensibility
7,Confidence,7.1,Leadership and empowerment
,,7.2,Independence
,,7.3,Initiative
,,7.4,Resilience
